donor,recipient,commitment_amount_usd_constant
Australia,Brazil,1763128.0
Australia,Chile,349067.0
Australia,Colombia,2554634.0
Australia,India,395645613.0
Australia,Korea,6028155.0
Australia,Poland,3046.0
Australia,Saudi Arabia,7575.0
Australia,South Africa,201034175.0
Australia,Thailand,245350459.0
Austria,Brazil,18764338.0
Austria,Chile,3510871.0
Austria,Colombia,7499615.0
Austria,India,16759714.0
Austria,Korea,17604640.0
Austria,Kuwait,14129.0
Austria,Poland,25468156.0
Austria,Saudi Arabia,654157.0
Austria,South Africa,17299271.0
Austria,Thailand,19462318.0
Belgium,Brazil,133189666.0
Belgium,Chile,48740523.0
Belgium,Colombia,24499336.0
Belgium,India,84213275.0
Belgium,Korea,52608.0
Belgium,Poland,2232643.0
Belgium,Saudi Arabia,9103.0
Belgium,South Africa,115141063.0
Belgium,Thailand,35542582.0
Canada,Brazil,116655707.0
Canada,Chile,36763984.0
Canada,Colombia,129319775.0
Canada,India,584612380.0
Canada,Korea,229577.0
Canada,Poland,1227152330.0
Canada,Saudi Arabia,10461.0
Canada,South Africa,216956798.0
Canada,Thailand,162178479.0
Denmark,Brazil,580370.0
Denmark,Chile,2478972.0
Denmark,Colombia,656860.0
Denmark,India,350077625.0
Denmark,South Africa,264602848.0
Denmark,Thailand,302930643.0
Finland,Brazil,10860797.0
Finland,Chile,2267001.0
Finland,Colombia,2638348.0
Finland,India,28162128.0
Finland,Poland,12219113.0
Finland,South Africa,95057539.0
Finland,Thailand,13036714.0
France,Brazil,298118837.0
France,Chile,216431074.0
France,Colombia,135764344.0
France,India,399505057.0
France,Korea,99632984.0
France,Kuwait,20563477.0
France,Poland,1492560757.0
France,Saudi Arabia,25601363.0
France,South Africa,385558023.0
France,Thailand,113443530.0
Germany,Brazil,910274709.0
Germany,Chile,308650313.0
Germany,Colombia,237083042.0
Germany,India,2805516944.0
Germany,Korea,111483414.0
Germany,Kuwait,5651646.0
Germany,Poland,3215142544.0
Germany,Saudi Arabia,7264960.0
Germany,South Africa,499129344.0
Germany,Thailand,304468329.0
Italy,Brazil,1564915527.0
Italy,Chile,23578075.0
Italy,Colombia,34000619.0
Italy,India,48681887.0
Italy,Korea,7187657.0
Italy,Kuwait,2427.0
Italy,Poland,14661020.0
Italy,Saudi Arabia,197457.0
Italy,South Africa,28722528.0
Italy,Thailand,3267365.0
Japan,Brazil,5803774422.0
Japan,Chile,124356394.0
Japan,Colombia,703824815.0
Japan,India,10545452015.0
Japan,Korea,4642323653.0
Japan,Kuwait,111514.0
Japan,Poland,115748268.0
Japan,Saudi Arabia,5799345.0
Japan,South Africa,726927617.0
Japan,Thailand,18394795215.0
Kuwait,India,1107033.0
Netherlands,Brazil,37780015.0
Netherlands,Chile,26640207.0
Netherlands,Colombia,169829389.0
Netherlands,India,1831435546.0
Netherlands,Korea,166544.0
Netherlands,Kuwait,31346.0
Netherlands,Poland,12244793.0
Netherlands,Saudi Arabia,82135.0
Netherlands,South Africa,428751694.0
Netherlands,Thailand,24923171.0
Norway,Brazil,60605140.0
Norway,Chile,35892064.0
Norway,Colombia,163804391.0
Norway,India,256973953.0
Norway,Poland,2355371.0
Norway,Saudi Arabia,172713.0
Norway,South Africa,428299463.0
Norway,Thailand,51323668.0
Spain,Brazil,80407342.0
Spain,Chile,73129363.0
Spain,Colombia,370347516.0
Spain,India,60739403.0
Spain,Korea,685941.0
Spain,Kuwait,20232.0
Spain,Poland,13683985.0
Spain,Saudi Arabia,14214.0
Spain,South Africa,11849048.0
Spain,Thailand,1346430.0
Sweden,Brazil,2028846.0
Sweden,Chile,23900969.0
Sweden,Colombia,55963688.0
Sweden,India,290972162.0
Sweden,Kuwait,11228374.0
Sweden,Poland,83906849.0
Sweden,South Africa,520162168.0
Sweden,Thailand,90729233.0
Switzerland,Brazil,47288384.0
Switzerland,Chile,21320195.0
Switzerland,Colombia,54660968.0
Switzerland,India,492479176.0
Switzerland,Korea,88653.0
Switzerland,Poland,2891471.0
Switzerland,South Africa,153644056.0
Switzerland,Thailand,16665260.0
United Kingdom,Brazil,147418425.0
United Kingdom,Chile,13072284.0
United Kingdom,Colombia,18127812.0
United Kingdom,India,5208452719.0
United Kingdom,Korea,3042287.0
United Kingdom,Poland,162686374.0
United Kingdom,South Africa,1223137766.0
United Kingdom,Thailand,162439352.0
United States,Brazil,8876798443.0
United States,Chile,1174231330.0
United States,Colombia,6265104966.0
United States,India,6347531852.0
United States,Korea,5462874288.0
United States,Kuwait,283385792.0
United States,Poland,1418015774.0
United States,Saudi Arabia,3426063767.0
United States,South Africa,2183989730.0
United States,Thailand,3664555116.0
