donor,recipient,commitment_amount_usd_constant
Australia,Brazil,9912176.0
Australia,Chile,11200333.0
Australia,Colombia,8913997.0
Australia,India,241740881.0
Australia,Korea,708036.0
Australia,South Africa,58958250.0
Australia,Thailand,80103438.0
Austria,Brazil,26201591.0
Austria,Chile,2398077.0
Austria,Colombia,9444655.0
Austria,India,36674937.0
Austria,Korea,810789.0
Austria,Poland,16551591.0
Austria,Saudi Arabia,328964.0
Austria,South Africa,14271317.0
Austria,Thailand,9774933.0
Belgium,Brazil,53772152.0
Belgium,Chile,15895771.0
Belgium,Colombia,51372329.0
Belgium,India,152153990.0
Belgium,Poland,2109728.0
Belgium,South Africa,252359045.0
Belgium,Thailand,4245311.0
Canada,Brazil,91342011.0
Canada,Chile,27787916.0
Canada,Colombia,248606010.0
Canada,India,142376889.0
Canada,Korea,42158.0
Canada,Poland,177268441.0
Canada,Saudi Arabia,5705.0
Canada,South Africa,161216764.0
Canada,Thailand,38518361.0
Denmark,Brazil,2580623.0
Denmark,Chile,1551409.0
Denmark,Colombia,2489257.0
Denmark,India,93409361.0
Denmark,South Africa,171809568.0
Denmark,Thailand,65447949.0
Finland,Brazil,15048668.0
Finland,Chile,4181083.0
Finland,Colombia,20952439.0
Finland,India,129036615.0
Finland,Poland,14120.0
Finland,Saudi Arabia,38710.0
Finland,South Africa,117441062.0
Finland,Thailand,26217679.0
France,Brazil,2050523368.0
France,Chile,174357002.0
France,Colombia,1287428150.0
France,India,743155885.0
France,Korea,36276372.0
France,Kuwait,1947643.0
France,Poland,525126139.0
France,Saudi Arabia,19428956.0
France,South Africa,1539332958.0
France,Thailand,376132892.0
Germany,Brazil,1977558945.0
Germany,Chile,777521375.0
Germany,Colombia,545246250.0
Germany,India,6265288415.0
Germany,Korea,47519433.0
Germany,Kuwait,251397.0
Germany,Poland,168904236.0
Germany,Saudi Arabia,6466720.0
Germany,South Africa,1334417906.0
Germany,Thailand,303994768.0
Italy,Brazil,153006666.0
Italy,Chile,9531548.0
Italy,Colombia,44303592.0
Italy,India,145142066.0
Italy,Poland,18809.0
Italy,Saudi Arabia,15147.0
Italy,South Africa,73083699.0
Italy,Thailand,11018224.0
Japan,Brazil,2866377295.0
Japan,Chile,131917721.0
Japan,Colombia,215147749.0
Japan,India,25619160830.0
Japan,Korea,174589331.0
Japan,Kuwait,515386.0
Japan,Poland,8227453.0
Japan,Saudi Arabia,30327012.0
Japan,South Africa,478467294.0
Japan,Thailand,3906391772.0
Korea,Brazil,204472350.0
Korea,Chile,43598915.0
Korea,Colombia,85662550.0
Korea,India,838979022.0
Korea,Saudi Arabia,167923.0
Korea,South Africa,20345015.0
Korea,Thailand,105821945.0
Netherlands,Brazil,11175982.0
Netherlands,Chile,1266109.0
Netherlands,Colombia,292127174.0
Netherlands,India,201746703.0
Netherlands,Kuwait,29108.0
Netherlands,Poland,7427983.0
Netherlands,Saudi Arabia,145386.0
Netherlands,South Africa,456134085.0
Netherlands,Thailand,17665270.0
Norway,Brazil,1010949092.0
Norway,Chile,5601550.0
Norway,Colombia,149734840.0
Norway,India,569229027.0
Norway,Poland,149419.0
Norway,Saudi Arabia,123635.0
Norway,South Africa,271392146.0
Norway,Thailand,42343913.0
Spain,Brazil,242165940.0
Spain,Chile,71726571.0
Spain,Colombia,775514631.0
Spain,India,120282274.0
Spain,Korea,110984.0
Spain,Kuwait,20232.0
Spain,Poland,2616377.0
Spain,South Africa,8026715.0
Spain,Thailand,5907854.0
Sweden,Brazil,22430992.0
Sweden,Chile,2563435.0
Sweden,Colombia,265527686.0
Sweden,India,178064061.0
Sweden,Poland,3162055.0
Sweden,South Africa,176947689.0
Sweden,Thailand,80651375.0
Switzerland,Brazil,25241941.0
Switzerland,Chile,15781547.0
Switzerland,Colombia,182936555.0
Switzerland,India,191841491.0
Switzerland,Korea,137488.0
Switzerland,Poland,468219.0
Switzerland,South Africa,129954227.0
Switzerland,Thailand,25770683.0
United Kingdom,Brazil,258083554.0
United Kingdom,Chile,6951163.0
United Kingdom,Colombia,74284051.0
United Kingdom,India,6562141382.0
United Kingdom,Saudi Arabia,671150.0
United Kingdom,South Africa,704691923.0
United Kingdom,Thailand,65823927.0
United States,Brazil,521355268.0
United States,Chile,52635989.0
United States,Colombia,7607299394.0
United States,India,1777157384.0
United States,Korea,276969.0
United States,Poland,7264451.0
United States,Saudi Arabia,1907689.0
United States,South Africa,4478474027.0
United States,Thailand,633161891.0
