donor,recipient,commitment_amount_usd_constant
Australia,Brazil,28997.0
Australia,India,214228427.0
Australia,Korea,1162012.0
Australia,Thailand,152679138.0
Austria,Brazil,6447210.0
Austria,Colombia,2814444.0
Austria,India,58731797.0
Austria,Saudi Arabia,826554.0
Austria,Thailand,27832161.0
Belgium,Colombia,29787539.0
Belgium,India,325666654.0
Belgium,Thailand,9381500.0
Canada,Brazil,50470837.0
Canada,Chile,7242486.0
Canada,Colombia,164957085.0
Canada,India,1469030254.0
Canada,Korea,1391947.0
Canada,Thailand,163894887.0
Denmark,India,691526486.0
Denmark,Thailand,73592435.0
Finland,India,3517060.0
France,Brazil,806507378.0
France,Chile,15930523.0
France,Colombia,114155053.0
France,India,1471484498.0
France,Thailand,102619390.0
Germany,Brazil,709379649.0
Germany,Chile,226262461.0
Germany,Colombia,271330081.0
Germany,India,4833964608.0
Germany,Korea,530621762.0
Germany,Kuwait,78425.0
Germany,Thailand,630718788.0
Italy,Brazil,3840703.0
Italy,Chile,3840703.0
Italy,Colombia,1360520.0
Italy,India,225874209.0
Italy,Korea,136703.0
Italy,Kuwait,325483.0
Italy,Saudi Arabia,65097.0
Italy,Thailand,188780.0
Japan,Brazil,743657125.0
Japan,Chile,96463128.0
Japan,Colombia,252400691.0
Japan,India,4582972688.0
Japan,Korea,5204799842.0
Japan,Saudi Arabia,177130395.0
Japan,Thailand,6624446764.0
Kuwait,India,794996038.0
Kuwait,Thailand,260887969.0
Netherlands,Brazil,19983286.0
Netherlands,Chile,21771318.0
Netherlands,Colombia,103379074.0
Netherlands,India,2626946928.0
Netherlands,Thailand,28149051.0
Norway,Brazil,484408.0
Norway,India,750549429.0
Norway,Thailand,5925923.0
Saudi Arabia,Brazil,191647004.0
Saudi Arabia,India,522872680.0
Saudi Arabia,Thailand,156480316.0
Sweden,Brazil,188669.0
Sweden,Chile,1382632.0
Sweden,India,1865407770.0
Sweden,Thailand,187106.0
Switzerland,Brazil,15191681.0
Switzerland,Chile,13961022.0
Switzerland,Colombia,22300721.0
Switzerland,India,613897202.0
Switzerland,Korea,40738.0
Switzerland,Thailand,50309544.0
United Kingdom,Brazil,240893506.0
United Kingdom,Chile,4483183.0
United Kingdom,Colombia,74353533.0
United Kingdom,India,5356020317.0
United Kingdom,Korea,90542.0
United Kingdom,Thailand,201090041.0
United States,Brazil,958920543.0
United States,Chile,633414228.0
United States,Colombia,1916243113.0
United States,India,4641815150.0
United States,Korea,4849360183.0
United States,Poland,75000451.0
United States,Saudi Arabia,768433457.0
United States,Thailand,728640311.0
